Epoch,Score,Tetrominoes,Cleared Lines
1349,20,22,0
1350,16,18,0
1351,25,27,0
1352,38,30,1
1353,20,22,0
1354,17,19,0
1355,110,42,5
1356,49,31,2
1357,36,28,1
1358,22,24,0
1359,35,27,1
1360,15,17,0
1361,90,32,4
1362,78,40,4
1363,107,49,6
1364,68,40,3
1365,46,28,2
1366,70,42,3
1367,45,37,1
1368,49,31,2
1369,29,31,0
1370,75,37,2
1371,40,32,1
1372,43,35,1
1373,39,31,1
1374,56,38,2
1375,27,29,0
1376,39,31,1
1377,31,23,1
1378,111,43,5
1379,52,34,2
1380,45,37,1
1381,54,36,2
1382,43,35,1
1383,67,39,3
1384,37,29,1
1385,26,28,0
1386,26,28,0
1387,21,23,0
1388,25,27,0
1389,57,39,2
1390,30,32,0
1391,28,30,0
1392,41,33,1
1393,70,42,3
1394,28,30,0
1395,68,40,3
1396,40,32,1
1397,112,44,5
1398,25,27,0
1399,89,41,3
1400,184,56,9
1401,26,28,0
1402,69,41,3
1403,115,47,5
1404,60,32,3
1405,44,36,1
1406,59,41,2
1407,28,30,0
1408,25,27,0
1409,166,48,8
1410,216,68,13
1411,38,30,1
1412,79,41,4
1413,31,33,0
1414,65,37,3
1415,28,20,1
1416,107,49,6
1417,41,33,1
1418,171,53,8
1419,43,35,1
1420,83,45,4
1421,35,27,1
1422,37,29,1
1423,22,24,0
1424,48,30,2
1425,103,35,5
1426,188,60,11
1427,89,41,3
1428,66,38,3
1429,43,35,1
1430,71,43,3
1431,71,43,3
1432,67,39,3
1433,111,43,5
1434,58,40,2
1435,140,52,7
1436,49,31,2
1437,46,38,1
1438,29,31,0
1439,56,38,2
1440,94,46,5
1441,77,39,4
1442,281,73,15
1443,27,29,0
1444,134,46,7
1445,126,48,6
1446,93,45,5
1447,80,42,4
1448,160,42,6
1449,39,31,1
1450,28,30,0
1451,56,38,2
1452,28,30,0
1453,25,27,0
1454,27,29,0
1455,27,29,0
1456,40,32,1
1457,37,29,1
1458,67,39,3
1459,172,64,11
1460,187,59,11
1461,66,38,3
1462,196,68,13
1463,113,45,7
1464,127,49,8
1465,33,25,1
1466,167,59,11
1467,153,55,8
1468,116,48,7
1469,303,75,17
1470,51,33,2
1471,29,31,0
1472,180,62,10
1473,133,55,8
1474,108,50,6
1475,173,55,10
1476,185,57,11
1477,43,35,1
1478,75,37,2
1479,68,40,3
1480,104,46,6
1481,70,42,3
1482,66,38,3
1483,177,59,10
1484,42,34,1
1485,209,61,11
1486,68,30,2
1487,60,32,3
1488,81,43,4
1489,127,49,8
1490,150,42,5
1491,88,40,5
1492,133,55,8
1493,179,51,7
1494,140,52,9
1495,265,67,12
1496,53,35,2
1497,149,51,8
1498,40,32,1
1499,80,42,4
1500,38,30,1
1501,58,40,2
1502,171,53,8
1503,57,39,2
1504,44,36,1
1505,66,38,3
